t=2026-05-15T15:39:24+0200 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-05-15T15:39:24+0200 lvl=info msg="no configuration paths supplied"
t=2026-05-15T15:39:24+0200 lvl=warn msg="ngrok config file found at both XDG and legacy locations, using XDG location" xdg_path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml legacy_path=C:\\Users\\PC\\.ngrok2\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="using configuration at default config path" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="open config file" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T15:39:24+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T15:39:25+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T15:39:25+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T15:39:25+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T15:40:08+0200 lvl=info msg="join connections" obj=join id=24e229a3dd09 l=127.0.0.1:8000 r=81.221.235.143:60833
t=2026-05-15T15:40:09+0200 lvl=info msg="join connections" obj=join id=458e55e03a3c l=127.0.0.1:8000 r=81.221.235.143:63973
t=2026-05-15T15:40:12+0200 lvl=info msg="join connections" obj=join id=a3f2e3b8125e l=127.0.0.1:8000 r=81.221.235.143:60812
t=2026-05-15T15:40:14+0200 lvl=info msg="join connections" obj=join id=aceb97aaeb65 l=127.0.0.1:8000 r=81.221.235.143:61567
t=2026-05-15T15:40:14+0200 lvl=info msg="join connections" obj=join id=6451cf6c5aae l=127.0.0.1:8000 r=81.221.235.143:60870
t=2026-05-15T15:40:16+0200 lvl=info msg="join connections" obj=join id=9957f2673d84 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:16+0200 lvl=info msg="join connections" obj=join id=8f5f3206f3a7 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:16+0200 lvl=info msg="join connections" obj=join id=53d9f1771e53 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:16+0200 lvl=info msg="join connections" obj=join id=d44f50edf630 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:16+0200 lvl=info msg="join connections" obj=join id=9321db2dc53d l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:17+0200 lvl=info msg="join connections" obj=join id=cc8447909a37 l=127.0.0.1:8000 r=81.221.235.143:60542
t=2026-05-15T15:40:17+0200 lvl=info msg="join connections" obj=join id=d0945978228d l=127.0.0.1:8000 r=81.221.235.143:64470
t=2026-05-15T15:40:20+0200 lvl=info msg="join connections" obj=join id=586339e74aac l=127.0.0.1:8000 r=81.221.235.143:63376
t=2026-05-15T15:40:20+0200 lvl=info msg="join connections" obj=join id=cbcc05e214e9 l=127.0.0.1:8000 r=81.221.235.143:59180
t=2026-05-15T15:40:22+0200 lvl=info msg="join connections" obj=join id=7d359b8f3cc3 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:22+0200 lvl=info msg="join connections" obj=join id=cda8cef2b766 l=127.0.0.1:8000 r=81.221.235.143:61760
t=2026-05-15T15:40:23+0200 lvl=info msg="join connections" obj=join id=c9eb20d0d50c l=127.0.0.1:8000 r=81.221.235.143:63257
t=2026-05-15T15:40:25+0200 lvl=info msg="join connections" obj=join id=5dbc64afd774 l=127.0.0.1:8000 r=81.221.235.143:63639
t=2026-05-15T15:40:26+0200 lvl=info msg="join connections" obj=join id=0bbab534070c l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:26+0200 lvl=info msg="join connections" obj=join id=a75193458048 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:26+0200 lvl=info msg="join connections" obj=join id=8b01c926c6f4 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:26+0200 lvl=info msg="join connections" obj=join id=a89c01028772 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:26+0200 lvl=info msg="join connections" obj=join id=6769e94a9bd8 l=127.0.0.1:8000 r=81.221.235.143:64553
t=2026-05-15T15:40:26+0200 lvl=info msg="join connections" obj=join id=a1e2055fcbf3 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:29+0200 lvl=info msg="join connections" obj=join id=cc4c9558820c l=127.0.0.1:8000 r=81.221.235.143:61612
t=2026-05-15T15:40:30+0200 lvl=info msg="join connections" obj=join id=0491bed0d760 l=127.0.0.1:8000 r=81.221.235.143:60769
t=2026-05-15T15:40:32+0200 lvl=info msg="join connections" obj=join id=d41ad5861991 l=127.0.0.1:8000 r=81.221.235.143:62086
t=2026-05-15T15:40:34+0200 lvl=info msg="join connections" obj=join id=c2fc31bec2e0 l=127.0.0.1:8000 r=81.221.235.143:60849
t=2026-05-15T15:40:34+0200 lvl=info msg="join connections" obj=join id=fa4ab3d5a441 l=127.0.0.1:8000 r=81.221.235.143:59516
t=2026-05-15T15:40:36+0200 lvl=info msg="join connections" obj=join id=63c005c2555e l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:36+0200 lvl=info msg="join connections" obj=join id=b3ee948a0e39 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:36+0200 lvl=info msg="join connections" obj=join id=02703ea5a51f l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:36+0200 lvl=info msg="join connections" obj=join id=aac0052099de l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:36+0200 lvl=info msg="join connections" obj=join id=58f7326cd344 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:37+0200 lvl=info msg="join connections" obj=join id=6928d47026e4 l=127.0.0.1:8000 r=81.221.235.143:61324
t=2026-05-15T15:40:37+0200 lvl=info msg="join connections" obj=join id=f9104b2f717c l=127.0.0.1:8000 r=81.221.235.143:60947
t=2026-05-15T15:40:41+0200 lvl=info msg="join connections" obj=join id=0f9255667793 l=127.0.0.1:8000 r=81.221.235.143:61308
t=2026-05-15T15:40:42+0200 lvl=info msg="join connections" obj=join id=a8e70f4f5eae l=127.0.0.1:8000 r=81.221.235.143:64257
t=2026-05-15T15:40:44+0200 lvl=info msg="join connections" obj=join id=d6e5297593a6 l=127.0.0.1:8000 r=81.221.235.143:61408
t=2026-05-15T15:40:45+0200 lvl=info msg="join connections" obj=join id=dc26635ed768 l=127.0.0.1:8000 r=81.221.235.143:64267
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=40924ec0bb8e l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=8bf024ccd122 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=3b5295258860 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=0c155fd87c9e l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=ca71319ca057 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=1c9fae128256 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=331476390630 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=989f15deb471 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:40:47+0200 lvl=info msg="join connections" obj=join id=9d8714aa447d l=127.0.0.1:8000 r=81.221.235.143:65001
t=2026-05-15T15:40:49+0200 lvl=info msg="join connections" obj=join id=3a152e0e091c l=127.0.0.1:8000 r=81.221.235.143:64741
t=2026-05-15T15:40:51+0200 lvl=info msg="join connections" obj=join id=b5af6bc8a253 l=127.0.0.1:8000 r=81.221.235.143:64520
t=2026-05-15T15:40:53+0200 lvl=info msg="join connections" obj=join id=7bcbbc704574 l=127.0.0.1:8000 r=81.221.235.143:63619
t=2026-05-15T15:40:55+0200 lvl=info msg="join connections" obj=join id=4a9254dde11b l=127.0.0.1:8000 r=81.221.235.143:60439
t=2026-05-15T15:40:56+0200 lvl=info msg="join connections" obj=join id=5d886d53829d l=127.0.0.1:8000 r=81.221.235.143:63519
